Postal Code,Establishment Address,Address URL,Licence Number,Licensee Name,Business Name,Type of Food Business
048947,"86 MARKET STREET #02-21,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0221001&module=EHFE,MSH0221001,POH SIEW LIAN,NA,NEA Managed Foodstall
048947,"86 MARKET STREET #01-K2,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=CE22908B000&module=EHFE,CE22908B000,LUCKY ACE SINGAPORE PTE. LTD.,% ARABICA,Takeaway
048947,"86 MARKET STREET #03-15,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0315001&module=EHFE,MSH0315001,AINON BTE YAHAYA,Setia Jaya Nasi Lemak,NEA Managed Foodstall
048947,"86 MARKET STREET #02-15,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0215001&module=EHFE,MSH0215001,LO BAK GHEE,NA,NEA Managed Foodstall
048947,"86 MARKET STREET #03-10,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0310001&module=EHFE,MSH0310001,TONG KWANG JUAN,NA,NEA Managed Foodstall
048947,"86 MARKET STREET #03-07,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0307001&module=EHFE,MSH0307001,SEE BEE KUAN,Bee Kee Wanton Noodle,NEA Managed Foodstall
048947,"86 MARKET STREET #03-08,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0308001&module=EHFE,MSH0308001,TAN HOK GUAN,Lu Ba Jie,NEA Managed Foodstall
048947,"86 MARKET STREET #01-04,Capitaspring,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=CE22496A000&module=EHFE,CE22496A000,6OZ ESPRESSO BAR (MARKET ST) PTE. LTD.,6oz Espresso Bar,Snack Counter
048947,"86 MARKET STREET #03-29,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0329001&module=EHFE,MSH0329001,WENG YALING,NA,NEA Managed Foodstall
048947,"86 MARKET STREET #03-11,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0311001&module=EHFE,MSH0311001,MARIAM ABDULLAH,GOLDEN NUR NASI BRIYANI,NEA Managed Foodstall
048947,"86 MARKET STREET #02-13,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0213001&module=EHFE,MSH0213001,ABDUL SALAM MOHAMED ELIYAS,MOM'S KITCHEN,NEA Managed Foodstall
048947,"86 MARKET STREET #03-05,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0305001&module=EHFE,MSH0305001,SOM WAI CHUN (SHEN HUIZHEN),Shu Vegetarian,NEA Managed Foodstall
048947,"86 MARKET STREET #02-04,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0204001&module=EHFE,MSH0204001,ONG LAY ENG,.Ah Liang Ipoh hor fun,NEA Managed Foodstall
048947,"86 MARKET STREET #02-17,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0217001&module=EHFE,MSH0217001,TAN SWEE CHENG,Market Street Teochew Kuay Teow Mee,NEA Managed Foodstall
048947,"86 MARKET STREET #03-06,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0306001&module=EHFE,MSH0306001,CHER KOK POH,Economical White BeeHoon,NEA Managed Foodstall
048947,"86 MARKET STREET #03-25,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0325001&module=EHFE,MSH0325001,SENG SWEE HENG,Sans Cuisine,NEA Managed Foodstall
048947,"86 MARKET STREET #02-08,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0208001&module=EHFE,MSH0208001,HENG KIN HONG,fish soup noodles,NEA Managed Foodstall
048947,"86 MARKET STREET #02-26,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0226001&module=EHFE,MSH0226001,TAI HO FOON,Poh Kee Kitchen Noodles & Rice,NEA Managed Foodstall
048947,"86 MARKET STREET #03-12,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0312001&module=EHFE,MSH0312001,M A MOHAMAD RAFEE,NA,NEA Managed Foodstall
048947,"86 MARKET STREET #03-03,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0303001&module=EHFE,MSH0303001,SAI FENGJIE,??,NEA Managed Foodstall
048947,"86 MARKET STREET #02-14,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0214001&module=EHFE,MSH0214001,SHAIK ALAUDIN MOHAMED IQBAL,Al-Bismi Caf?,NEA Managed Foodstall
048947,"86 MARKET STREET #03-13,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0313001&module=EHFE,MSH0313001,M A MOHAMAD ALI,NA,NEA Managed Foodstall
048947,"86 MARKET STREET #02-16,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0216001&module=EHFE,MSH0216001,CHUA SIEW CHEN IVY (CAI XIUZHEN IVY),My aunty's bakery,NEA Managed Foodstall
048947,"86 MARKET STREET #03-18,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0318001&module=EHFE,MSH0318001,LEE SWEE KIM,NA,NEA Managed Foodstall
048947,"86 MARKET STREET #01-05,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=CE22805N000&module=EHFE,CE22805N000,R E & S ENTERPRISES PTE LTD,GOKOKU,Bakery
048947,"86 MARKET STREET #03-09,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0309001&module=EHFE,MSH0309001,CHNG SWEE LEE,NA,NEA Managed Foodstall
048947,"86 MARKET STREET #02-25,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0225001&module=EHFE,MSH0225001,ZHANG MEILAN,Yew Yi Hup Kee Eating House,NEA Managed Foodstall
048947,"86 MARKET STREET #02-01,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0201001&module=EHFE,MSH0201001,GOH SENG MOY,NA,NEA Managed Foodstall
048947,"86 MARKET STREET #03-30,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0330001&module=EHFE,MSH0330001,LEE SANG PENG,Salad Co. Sg,NEA Managed Foodstall
048947,"86 MARKET STREET #03-17,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0317001&module=EHFE,MSH0317001,LIM TEK CHENG,Le fruit,NEA Managed Foodstall
048947,"86 MARKET STREET #03-04,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0304001&module=EHFE,MSH0304001,TAN KHWE YANG,NA,NEA Managed Foodstall
048947,"86 MARKET STREET #02-23,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0223001&module=EHFE,MSH0223001,ANG HUNG THIEW,NA,NEA Managed Foodstall
048947,"86 MARKET STREET #02-20,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0220001&module=EHFE,MSH0220001,KOH BOON HENG,Heng's Authentic Teochew Mee pok,NEA Managed Foodstall
048947,"86 MARKET STREET #02-18,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0218001&module=EHFE,MSH0218001,WANG CHEN LING,Xiao Mian Dian,NEA Managed Foodstall
048947,"86 MARKET STREET #02-07,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0207001&module=EHFE,MSH0207001,LIM CHOON KIANG,Ming Fa Fishball Noodles,NEA Managed Foodstall
048947,"86 MARKET STREET #02-24,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0224001&module=EHFE,MSH0224001,KOH BOON SENG,Tong Fong Fatt,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-11,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0111001&module=EHFE,MFM0111001,GOH HUI HIANG,NA,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-01,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0101002&module=EHFE,MFM0101002,LEE CHOO ENG,NA,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-63,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0163001&module=EHFE,MFM0163001,LIEW MEE LING @LIEW MEE LIANG,Uncle Bao Claypot,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-39,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0139001&module=EHFE,MFM0139001,OSMAN BIN HAMZAH,NA,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-72,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0172001&module=EHFE,MFM0172001,KOH CHENG LOO,SENG LOO HOT & COLD DRINKS,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-03,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0103001&module=EHFE,MFM0103001,LIM SWEE POH,NA,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-61,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0161001&module=EHFE,MFM0161001,ANDY GOH HAN,LIAN XIANG,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-66,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0166001&module=EHFE,MFM0166001,XU WUYI,Ah Yi Handmade Noodle & Fish Soup,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-38,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0138001&module=EHFE,MFM0138001,MOHAMED ASLAM BIN AKBAR ALI,Arabica kebab,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-47,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0147001&module=EHFE,MFM0147001,ZHANG DENGFENG,NA,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-04,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0104002&module=EHFE,MFM0104002,YE SHIJUN,Bukit Panjang Dessert,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-05,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0105002&module=EHFE,MFM0105002,ANG YEN DEE,YONG KEE YONG TAU FOO,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-53,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0153001&module=EHFE,MFM0153001,ZHENG LIHUA,NA,NEA Managed Foodstall
738623,"4 WOODLANDS STREET 12 #01-67,Singapore 738623",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MFM0167001&module=EHFE,MFM0167001,NG ENG HOE @MUHAMMAD YASSIN NG,NA,NEA Managed Foodstall
